"Date","Price","Open","High","Low","Vol.","Change %"
"04/12/2020","44.14","42.53","44.40","38.01","79.82M","3.77%"
"04/05/2020","42.53","40.71","47.60","39.95","96.94M","4.48%"
"03/29/2020","40.71","38.85","42.71","37.12","118.91M","4.78%"
"03/22/2020","38.85","38.35","41.13","34.84","70.29M","1.31%"
"03/15/2020","38.35","34.44","43.49","29.45","114.28M","11.34%"
"03/08/2020","34.44","60.45","60.46","24.35","156.58M","-43.03%"
"03/01/2020","60.45","58.08","63.81","56.29","64.28M","4.09%"
"02/23/2020","58.08","74.82","79.92","56.95","97.91M","-22.37%"
"02/16/2020","74.82","76.74","80.68","66.49","85.95M","-2.51%"
"02/09/2020","76.74","76.61","84.09","72.36","66.93M","0.17%"
"02/02/2020","76.61","70.75","77.76","70.75","61.68M","8.29%"
"01/26/2020","70.75","53.27","72.71","52.92","69.64M","32.81%"
"01/19/2020","53.27","59.29","62.31","50.87","46.41M","-10.15%"
"01/12/2020","59.29","49.44","77.93","48.88","70.61M","19.93%"
"01/05/2020","49.44","42.85","49.44","42.73","60.04M","15.36%"
"12/29/2019","42.86","42.75","44.18","38.97","51.76M","0.24%"
"12/22/2019","42.75","39.68","42.75","39.49","56.89M","7.74%"
"12/15/2019","39.68","43.27","44.00","35.94","74.11M","-8.31%"
"12/08/2019","43.27","45.24","46.16","42.98","58.34M","-4.34%"
"12/01/2019","45.24","47.52","48.45","43.85","81.31M","-4.81%"
"11/24/2019","47.52","48.18","49.25","42.51","84.01M","-1.36%"
"11/17/2019","48.18","58.28","59.93","43.99","89.06M","-17.34%"
"11/10/2019","58.29","62.10","65.38","56.73","73.98M","-6.13%"
"11/03/2019","62.09","58.28","64.37","57.27","97.73M","6.54%"
"10/27/2019","58.28","56.75","62.45","55.72","96.88M","2.69%"
"10/20/2019","56.75","53.74","59.38","47.61","68.92M","5.61%"
"10/13/2019","53.74","55.74","57.56","51.40","66.86M","-3.59%"
"10/06/2019","55.74","56.80","59.84","53.53","70.76M","-1.87%"
