"Date","Price","Open","High","Low","Vol.","Change %"
"05/22/2021","169.42","179.92","184.37","162.31","101.97M","-5.92%"
"05/21/2021","180.07","211.77","218.60","156.73","169.66M","-14.97%"
"05/20/2021","211.77","186.39","224.67","166.70","4.27M","13.31%"
"05/19/2021","186.90","294.22","300.24","145.88","189.18M","-36.51%"
"05/18/2021","294.39","281.43","317.71","279.00","254.45M","4.67%"
"05/17/2021","281.26","296.31","296.31","262.36","225.05M","-5.04%"
"05/16/2021","296.20","299.78","323.78","279.88","258.54M","-1.10%"
"05/15/2021","299.50","326.36","331.68","296.97","262.08M","-8.19%"
"05/14/2021","326.21","317.71","338.83","308.45","287.96M","2.74%"
"05/13/2021","317.51","312.56","332.49","291.62","258.38M","5.02%"
"05/12/2021","302.33","377.38","393.94","302.33","2.52M","-19.88%"
"05/11/2021","377.37","359.18","379.48","345.20","333.25M","5.09%"
"05/10/2021","359.11","387.81","412.80","335.18","356.90M","-7.16%"
"05/09/2021","386.82","347.13","388.96","334.67","2.29M","11.47%"
"05/08/2021","347.03","345.20","356.51","334.24","325.56M","0.43%"
"05/07/2021","345.54","353.38","372.26","333.89","329.82M","-2.22%"
"05/06/2021","353.38","356.14","364.76","318.99","2.75M","-0.72%"
"05/05/2021","355.96","311.61","359.57","311.61","321.62M","16.58%"
"05/04/2021","305.33","294.54","324.33","271.93","264.49M","3.70%"
"05/03/2021","294.43","268.84","299.55","268.60","264.37M","9.51%"
"05/02/2021","268.86","276.76","277.40","264.91","250.31M","-2.85%"
"05/01/2021","276.75","271.15","278.47","266.02","255.01M","2.09%"
"04/30/2021","271.08","255.41","273.43","252.69","243.16M","6.15%"
"04/29/2021","255.38","258.50","262.62","248.83","3.13M","-1.31%"
"04/28/2021","258.76","259.73","266.42","248.21","227.60M","-0.41%"
"04/27/2021","259.83","247.50","263.07","243.84","236.85M","4.99%"
"04/26/2021","247.49","223.92","248.12","221.45","228.04M","10.70%"
"04/25/2021","223.57","224.94","235.34","211.33","928.52K","-0.72%"
"04/24/2021","225.20","241.43","241.43","220.65","212.21M","-6.71%"
"04/23/2021","241.40","253.00","257.11","207.38","206.15M","-4.58%"
"04/22/2021","253.00","257.64","289.45","239.90","243.18M","-1.89%"
"04/21/2021","257.87","260.55","276.49","250.91","240.64M","-1.19%"
"04/20/2021","260.98","261.21","272.54","234.72","234.92M","-0.13%"
"04/19/2021","261.31","273.48","281.52","250.55","246.69M","-4.49%"
"04/18/2021","273.60","301.08","304.46","231.87","236.97M","-9.08%"
"04/17/2021","300.93","308.27","335.27","298.31","4.40M","-2.35%"
"04/16/2021","308.17","285.70","316.19","265.89","257.36M","7.85%"
"04/15/2021","285.75","278.89","290.53","266.23","4.83M","2.64%"
"04/14/2021","278.41","267.40","282.93","255.64","250.63M","4.21%"
"04/13/2021","267.17","244.45","273.22","244.44","2.82M","9.20%"
"04/12/2021","244.66","252.46","258.89","240.17","249.40M","-3.06%"
"04/11/2021","252.37","256.27","263.42","245.03","6.32M","-1.52%"
"04/10/2021","256.27","220.83","256.37","219.22","242.78M","16.02%"
"04/09/2021","220.88","226.35","228.80","218.96","229.64M","-2.47%"
"04/08/2021","226.48","219.10","228.11","217.02","231.31M","3.43%"
"04/07/2021","218.97","236.69","242.83","211.00","238.65M","-7.54%"
"04/06/2021","236.83","221.47","244.51","213.21","243.94M","6.94%"
"04/05/2021","221.46","202.28","225.16","198.23","229.15M","9.47%"
"04/04/2021","202.29","195.21","204.66","192.37","204.40M","3.62%"
"04/03/2021","195.23","211.64","217.66","194.98","225.94M","-7.84%"
"04/02/2021","211.84","202.34","213.74","200.83","942.91K","4.69%"
"04/01/2021","202.35","196.67","204.67","194.24","201.89M","2.89%"
"03/31/2021","196.66","195.78","198.90","187.05","191.48M","0.45%"
"03/30/2021","195.77","193.74","199.93","190.30","174.96M","1.04%"
"03/29/2021","193.76","184.23","197.50","182.45","188.05M","5.17%"
"03/28/2021","184.24","184.08","187.27","180.07","177.86M","0.10%"
"03/27/2021","184.06","183.46","186.07","177.82","176.09M","0.36%"
"03/26/2021","183.40","171.55","183.78","171.49","166.74M","6.84%"
"03/25/2021","171.66","176.17","178.32","167.92","154.08M","-2.58%"
"03/24/2021","176.20","185.86","196.91","172.39","181.91M","-5.37%"
"03/23/2021","186.19","185.55","189.31","181.26","638.93K","0.30%"
"03/22/2021","185.64","195.32","198.72","184.68","188.33M","-4.99%"
"03/21/2021","195.38","200.08","201.80","192.14","188.01M","-2.31%"
"03/20/2021","199.99","199.99","206.10","198.91","196.51M","-0.14%"
"03/19/2021","200.28","199.74","204.97","195.85","177.88K","0.27%"
"03/18/2021","199.73","205.93","208.18","199.34","989.87K","-3.09%"
"03/17/2021","206.11","201.66","206.74","194.47","176.18M","2.19%"
"03/16/2021","201.70","200.50","205.04","191.63","128.92M","0.62%"
"03/15/2021","200.46","214.23","222.54","197.66","132.91M","-6.43%"
"03/14/2021","214.23","226.04","228.04","214.23","1.67M","-5.30%"
"03/13/2021","226.21","220.61","230.09","213.28","205.69M","2.54%"
"03/12/2021","220.61","201.35","224.22","198.59","2.08M","9.58%"
"03/11/2021","201.33","200.11","203.39","191.11","169.26M","0.60%"
"03/10/2021","200.13","203.73","207.86","191.63","183.88M","-1.78%"
"03/09/2021","203.75","191.78","204.89","189.31","162.66M","6.34%"
"03/08/2021","191.60","190.76","195.22","179.61","1.14M","0.44%"
"03/07/2021","190.76","182.84","192.10","182.23","146.54M","4.34%"
"03/06/2021","182.82","180.14","184.54","174.77","146.26M","1.48%"
"03/05/2021","180.14","180.67","183.54","168.67","153.39M","-0.29%"
"03/04/2021","180.66","187.68","194.40","177.06","173.56M","-3.81%"
"03/03/2021","187.81","179.06","196.10","176.96","163.81M","5.32%"
"03/02/2021","178.32","175.85","185.10","170.76","1.12M","1.33%"
"03/01/2021","175.98","165.15","176.50","163.37","141.79M","6.58%"
"02/28/2021","165.12","171.85","172.84","153.95","170.19M","-3.93%"
"02/27/2021","171.87","170.30","180.34","167.12","161.69M","1.09%"
"02/26/2021","170.02","179.24","182.62","162.87","2.18M","-5.29%"
"02/25/2021","179.51","181.53","205.05","175.18","204.30M","-1.10%"
"02/24/2021","181.50","177.59","189.39","169.29","199.81M","2.23%"
"02/23/2021","177.54","208.06","208.67","157.99","1.40M","-14.66%"
"02/22/2021","208.04","227.16","227.30","178.79","212.94M","-8.44%"
"02/21/2021","227.22","226.83","233.58","220.21","198.55M","-0.12%"
"02/20/2021","227.50","236.39","247.07","214.53","1.47M","-3.88%"
"02/19/2021","236.69","226.67","241.66","220.34","192.82M","4.46%"
"02/18/2021","226.58","237.35","238.94","220.79","200.40M","-4.42%"
"02/17/2021","237.07","210.47","237.44","203.62","214.05M","12.68%"
"02/16/2021","210.39","207.71","221.91","200.15","208.17M","1.29%"
"02/15/2021","207.71","213.65","219.82","185.65","221.53M","-2.75%"
"02/14/2021","213.59","226.01","230.45","208.42","217.96M","-5.47%"
"02/13/2021","225.94","196.59","228.82","191.73","236.46M","15.05%"
"02/12/2021","196.38","183.60","199.51","176.85","168.15M","6.87%"
"02/11/2021","183.76","181.65","193.36","175.92","164.63M","1.21%"
"02/10/2021","181.55","181.51","195.08","170.02","200.54M","0.06%"
"02/09/2021","181.44","167.28","184.28","164.40","160.46M","8.42%"
"02/08/2021","167.35","150.73","169.28","147.86","136.40M","11.03%"
"02/07/2021","150.73","155.57","157.22","145.27","130.21M","-3.00%"
"02/06/2021","155.39","155.06","164.03","149.98","142.45M","0.24%"
"02/05/2021","155.03","143.71","156.87","143.68","121.13M","7.87%"
"02/04/2021","143.71","155.93","158.21","142.98","128.83M","-7.84%"
"02/03/2021","155.94","141.97","156.11","141.97","132.28M","9.88%"
"02/02/2021","141.92","131.99","145.87","131.91","122.30M","7.47%"
"02/01/2021","132.05","129.40","136.55","126.00","109.98M","2.05%"
"01/31/2021","129.40","133.38","134.89","125.70","105.17M","-2.96%"
"01/30/2021","133.35","134.67","136.23","128.03","108.48M","-0.98%"
"01/29/2021","134.67","133.26","145.42","131.06","140.22M","1.09%"
"01/28/2021","133.22","122.44","135.80","120.93","113.51M","8.80%"
"01/27/2021","122.44","134.68","134.91","118.29","109.78M","-9.11%"
"01/26/2021","134.71","137.14","139.71","128.37","85.25M","-1.75%"
"01/25/2021","137.11","141.01","147.61","136.65","90.83M","-2.74%"
"01/24/2021","140.97","137.65","142.62","133.81","80.37M","2.42%"
"01/23/2021","137.64","137.66","143.46","135.08","114.54M","-0.13%"
"01/22/2021","137.82","129.77","141.81","122.88","350.07M","6.39%"
"01/21/2021","129.54","149.72","150.22","125.72","382.38M","-13.47%"
"01/20/2021","149.71","151.87","156.13","138.47","384.74M","-1.44%"
"01/19/2021","151.89","152.03","166.05","150.25","365.45M","-0.04%"
"01/18/2021","151.95","142.88","154.90","138.54","316.05M","6.35%"
"01/17/2021","142.88","143.54","146.95","136.37","325.28M","-0.45%"
"01/16/2021","143.53","143.77","152.56","139.40","344.24M","-0.17%"
"01/15/2021","143.77","152.55","155.62","130.56","387.07M","-5.79%"
"01/14/2021","152.61","147.38","156.86","143.74","334.66M","3.58%"
"01/13/2021","147.34","133.42","148.42","126.00","356.74M","10.46%"
